breakfast,2,2
breast,3,0
breath,3,2
breathe,3,3
brick,2,3
bridge,2,2
brief,2,2
briefly,2,3
bright,2,2
brilliant,2,3
bring,1,1
broad,2,2
brother,1,1
brown,2,2
brush,3,0
brush,3,0
buck,1,0
bucket,2,0
buddy,3,0
budget,1,2
bug,3,0
build,1,1
builder,3,0
building,1,1
bump,3,0
bunch,2,0
burn,2,3
burn,3,0
burst,0,3
bury,0,3
bus,1,2
business,1,1
busy,1,2
but,1,1
but,2,3
but,2,3
butcher,3,0
butter,2,0
button,2,0
buy,1,1
buyer,3,3
by,1,1
by,1,1
bye,1,0
bye,3,0
cabinet,2,2
cable,0,3
cake,2,3
calculate,2,3
calculation,2,0
calculator,3,0
calendar,3,0
call,1,1
call,1,1
calm,3,3
camera,2,3
camp,3,3
campaign,2,1
can,1,1
can,2,0
cancel,2,0
cancer,2,2
candidate,0,2
candle,3,0
candy,3,0
cap,3,0
capable,2,2
capacity,3,2
capital,3,1
capital,2,3
captain,0,3
capture,0,3
car,1,1
card,1,2
care,1,1
care,1,2
career,2,2
careful,1,2
carefully,2,2
carpet,2,3
carrot,3,0
carry,1,1
cartoon,3,0
case,1,1
cash,2,2
cash,3,0
cast,0,3
castle,0,3
cat,1,3
catalogue,0,3
catch,1,1
category,2,2
cause,2,1
cause,1,1
CD,3,3
cease,0,3
ceiling,3,3
celebrate,0,3
celebration,3,0
cell,3,2
cellphone,2,3
cent,1,1
centimetre,3,3
central,1,1
centre,1,1
century,2,1
cereal,3,0
certain,1,1
certainly,1,1
certificate,3,3
chain,3,2
chair,1,2
chairman,3,1
challenge,2,2
challenge,3,3
champion,0,3
championship,0,3
chance,1,1
change,1,1
change,1,1
channel,3,2
chap,2,0
chapter,3,1
character,1,1
characteristic,3,2
characterize,0,3
charge,1,1
charge,1,2
charity,3,3
chart,3,3
chase,3,0
chat,2,0
cheap,1,2
cheat,3,0
check,1,2
check,1,3
cheek,0,3
cheese,2,3
chemical,3,3
chemical,0,3
chemist,3,0
chemistry,2,0
cheque,2,0
cherry,3,0
chest,2,3
chicken,2,0
chief,2,2
chief,0,3
child,1,1
childhood,0,3
chip,2,3
chocolate,2,0
choice,1,1
choose,1,1
chop,3,0
chuck,3,0
church,1,1
cigarette,2,3
cinema,3,0
circle,2,2
circuit,0,3
circumstance,2,1
citizen,2,2
city,1,1
civil,3,2
claim,1,1
claim,2,1
class,1,1
classic,0,3
classical,0,3
classroom,3,3
clean,2,2
clean,1,3
cleaner,3,0
clear,1,1
clear,1,2
clearly,1,1
clerk,3,0
clever,2,0
click,3,0
client,2,1
climate,0,3
climb,0,2
clock,2,3
close,1,1
close,1,1
close,2,2
closed,3,0
closely,3,2
closet,3,0
cloth,3,0
clothes,2,2
cloud,3,3
club,1,1
clue,2,0
coach,3,2
coal,2,2
coast,3,2
coat,2,3
code,2,2
coffee,1,2
coin,3,0
cold,1,1
collapse,3,0
collar,3,0
colleague,2,2
collect,1,2
collection,2,1
college,1,2
colour,1,1
column,3,2
combination,3,2
combine,3,2
come,1,1
comfort,0,3
comfortable,2,3
command,0,3
comment,1,2
comment,3,3
commercial,3,2
commission,3,2
commit,2,2
commitment,2,2
committee,3,1
common,1,1
communicate,3,3
communication,2,1
community,1,1
company,1,1
compare,1,1
comparison,3,2
compete,3,3
competition,2,1
competitive,3,3
complain,2,3
complaint,3,3
complete,2,1
complete,2,1
completely,1,2
complex,3,2
complicated,2,0
component,0,2
comprehensive,0,3
comprise,0,3
computer,1,1
concentrate,2,2
concentration,3,2
concept,3,2
concern,1,1
concern,0,3
concerned,1,1
concerning,0,3
concert,3,3
conclude,3,2
conclusion,3,2
condition,2,1
conduct,0,2
conduct,0,3
conference,2,1
confidence,2,2
confident,3,3
confine,0,3
confirm,2,2
conflict,3,2
confused,3,0
confusing,3,0
confusion,3,3
congratulation,3,0
connect,2,2
connection,3,2
conscious,2,3
consciousness,0,3
consent,0,3
consequence,3,2
consider,1,1
considerable,3,1
considerably,3,0
consideration,2,2
consist,0,3
consistent,3,3
constant,3,3
constantly,3,3
constitute,0,3
construct,0,3
construction,3,2
consult,3,3
consumer,3,2
consumption,0,3
contact,2,2
contact,2,2
contain,2,1
contemporary,0,2
content,3,2
contest,0,3
context,2,2
continue,1,1
continuous,3,3
contract,1,1
contrast,0,2
contribute,3,2
contribution,2,2
control,1,1
control,2,1
convenient,3,0
convention,0,2
conventional,0,3
conversation,1,2
convert,0,3
conviction,0,3
convince,3,3
cook,1,3
cooker,3,0
cookie,3,3
cool,2,3
cool,2,0
cooperation,3,3
cope,2,3
copy,1,2
copy,2,0
core,0,3
corn,3,0
corner,1,2
correct,1,2
correct,3,0
corridor,2,3
cost,1,1
cost,1,2
cottage,3,3
cotton,0,3
could,1,1
council,2,2
count,2,3
counter,3,0
country,1,1
countryside,3,3
county,0,2
couple,1,1
courage,3,0
course,1,1
court,1,1
cousin,2,0
cover,1,1
cover,1,2
cow,2,0
crack,3,0
craft,0,3
